Artwork_ID,Artwork_Title,Artwork_Tag,Comments_count,Likes_count
6653,"Tavron Pyke, hedge knight (commission)","['Digital 2D', 'Fantasy', 'Concept Art', 'Character Design', 'Portrait', 'Realistic', 'character', 'best', 'top', 'Fantasy', 'Painting', 'Light', 'Drawing', 'DnD', 'Artwork', 'Fantastic', 'person', 'art', 'rpg', 'armor', 'armour', 'concept', 'warrior', 'illustration', 'armored', 'fighter', 'adventurers', 'hero', 'legend', 'fencer', 'duelist', 'sword', 'good', 'dungeons and dragons', 'tabletop', 'card art', 'breastplate', 'cuirass', 'leather armor', 'young', 'male', 'man', 'battle', 'pose', 'weapon', 'hilt', 'reasonable', 'commission', 'viking', 'Game of Thrones', 'GoT', 'ASOIAF', 'Greyjoy', 'Iron Islands', 'fanart', 'bastard', 'longsword', 'knight', 'grey', 'zweihander', 'two-handed', 'westeros', 'pirate', 'corsair', 'battlefield', 'bleak', 'raider', 'bandit', 'buccaneer', 'boss', 'human', 'leaning']",1,66
7529,What are girls made of?,"['Digital 2D', 'Fantasy', 'Concept Art', 'Illustration', 'illustration', '2dart', 'art', 'characterdesign', 'conceptart', 'sketch', 'fantasy', 'digitalart']",0,51
8596,甘雨 Ganyu,"['Digital 2D', 'Fantasy', 'Anime & Manga', 'Fan Art', 'Ganyu', 'Genshin Impact']",1,44
1436,Character design,"['Digital 2D', 'Concept Art', 'Illustration', 'Character Design', 'game art', 'fantasy', 'girl', 'study', '2d', 'digital']",1,31
284,???,"['Digital 3D', 'Real-time', 'Game Art', 'Technical Art', 'Character Animation', 'unreal', 'combaat', 'fighting', 'sequence', 'realtime', 'raytracing', 'animation', 'ray-tracing', 'lookdev', 'rtx', 'breakdown', 'lighting', 'UE4', 'Game-Art', 'fantasy']",0,46
6589,TBLeague Phicen doll in a Zulu costume,"['Digital 3D', '3D Printing', 'Mixed Media', 'Concept Art', 'Anime & Manga', 'Character Design', 'harness', 'gold', 'sword', 'dagger', 'saddle', 'briddle', 'plumage', 'saber', 'spear']",0,21
1837,Cyborg Jasmine,"['Digital 3D', 'Science Fiction', 'Weapons', 'Portraits', 'dazstudio', 'daz3d', 'iray', 'cgi', 'artwork', 'digitalart', '3drender', 'art', '3d', 'photoshop', 'genesis8', 'female', 'sexy', 'cyborg']",2,57
5573,Rei Ayanami,"['Digital 2D', 'Anime & Manga', 'Cover Art', 'Fan Art', 'Anime', 'aesthetics', 'evangelion', 'rei']",0,97
2616,Fast Food Qiyana,"['Digital 2D', 'Game Art', 'Anime & Manga', 'Fan Art', 'league of legends', 'fast food', 'qiyana', 'donut']",1,114
1077,Boahancock fanart,"['Digital 2D', 'Mixed Media', 'Comic Art', 'Illustration', 'Anime & Manga', 'boahancock', 'onepiece', 'luffy', 'sanji', 'zoro', 'nami', 'nicorobin', 'illustration', 'fanart', 'digitalrt', 'digitalpainting']",2,27
2075,Dian warrior,"['Digital 2D', 'Illustration', 'Book Illustration', 'Editorial Illustration']",0,49
8601,真・女神転生III Fan Art : Parvati,"['Digital 2D', 'Fantasy', 'Fan Art']",0,86
3417,I Got Your Back,"['Digital 3D', 'Science Fiction', 'Weapons', 'Portraits', 'dazstudio', 'daz3d', 'iray', 'cgi', 'artwork', 'digitalart', '3drender', 'art', '3d', 'photoshop', 'genesis8', 'weapon', 'scifi', 'cyberpunk']",5,64
8357,work,,0,61
2812,Frog and the city,['Digital 2D'],1,74
6295,Spine 2d animation - Girl,"['Digital 2D', 'Animation', 'Game Art', 'Anime & Manga', 'Technical Art', 'girl', 'JK', 'spine 2d', 'animation']",0,32
8461,以前的设计练习,"['Digital 2D', 'Concept Art', 'Character Design']",0,33
517,Amber Witch,"['Digital 2D', 'Fantasy', 'Illustration', 'Board & Card Game Art', 'dragon', 'sorceress', 'faerie', 'landscape', 'environment', 'witch', 'mage', 'waterfall']",1,53
3171,Halloween Pin Up Commission,"['Digital 2D', 'Concept Art', 'Comic Art', 'Fan Art', 'pin up', 'girl', 'pretty girl', 'costume', 'halloween', 'sexy girl', 'party', 'commissions', 'terror', 'pumpkins', 'witcher', 'witchers', 'witch', 'witches']",0,24
6136,Skywind Ingredients,"['Digital 3D', 'Fantasy', 'Game Art', 'Props', 'Skywind', 'Fantasy', 'Food', 'Ingredients', 'Gameart', 'GameProps']",1,26
4278,Marvel's Avengers - Captain America's Iconic Outfit,"['Digital 3D', 'Game Art', 'marvel', 'avengers']",1,13
2606,Farmer Scarecrow | Arsenal,"['Character Modeling', 'Roblox']",0,3
4998,Oz Cover - BDI Comics,,0,62
6495,Succubus concept,"['Digital 2D', 'Digital 3D', 'Traditional Ink']",2,84
8008,hard surface study,"['Digital 3D', 'Hard Surface', 'Character Design', 'Character Modeling', 'abubu', 'art', 'work', 'artwork', 'illust', 'concept', 'character', 'design', 'illustration', 'style', 'render', '3D', 'hard', 'surface', 'study', 'robot', 'girl']",0,28
7275,Valentine's Day Bettie Page,"['Digital 2D', 'Illustration', 'Stylized', 'Character Design', 'bettie page', 'betty page', 'valentine', 'pin-up', 'retro']",0,44
4666,NBA 2K21 UI Concepts,"['Digital 2D', 'Animation', 'Game Art', 'User Interface (UI) Art', 'Graphic Design', 'ui design', 'ux design', 'game art', 'ui art', 'interface design', 'motion graphics', 'xbox', 'ps5', 'concept art', 'sci fi', 'Games', 'pc games', 'icons', 'stones', 'kobe bryant', 'lebron james', 'typography', 'graphic design']",1,25
4744,Netflix - Sweet Home - Muscle Monster - Early Color Option,"['Digital 3D', 'Concept Art', 'Creatures', 'Character Design', 'Mauricio Ruiz Design', 'character design', 'concept art', '3D', 'zbrush', 'keyshot', 'creature design', 'netflix', 'sweet home', 'muscle monster', 'muscle man']",2,37
6712,The Blood Oath,"['Digital 2D', 'Cover Art']",0,58
7168,UNITY VFX PORTAL,"['VFX for Real-Time & Games', 'UNITY', 'VFX', 'EFFECT']",0,33
1952,Darkness Eater,"['Traditional Ink', 'Fantasy', 'Illustration', 'Character Design', 'drawing', 'doodle', 'art', 'artist', 'artwork', 'traditional', 'pen', 'pen art', 'pen drawing', 'ink', 'ink art', 'ink drawing', 'style', 'imagination', 'inspiration', 'comic', 'comic art', 'story', 'storytelling', 'narrative', 'fantasy', 'fairytale', 'character', 'character design', 'original character', 'creature', 'monster', 'bird', 'griffin', 'wizard', 'magic', 'fire', 'light', 'environment', 'journey', 'illustration', 'concept']",0,76
7677,Yakuza,"['Digital 2D', 'Illustration', 'Anatomy', 'Character Design', 'tattoo', 'yakuza', 'koi', 'doodle', 'tattoodo', 'oni', 'criminal', 'janpanese', 'japanesewoman', 'bodies', 'anatomy', 'tattooart', 'warrior', 'samurai', 'inkedgirls', 'bodyart', 'inkedup', 'playstation', 'bhfyp', 'traditionnaljapanesetattoo', 'inked']",0,62
2324,Eden's Siren,"['Digital 2D', 'Fantasy', 'Concept Art', 'Creatures', 'patreon', 'patreon reward', 'monster', 'siren', 'mythology', 'myth', 'creature', 'dnd']",0,33
7999,gunner,['Digital 2D'],0,36
8622,练习啊,"['Digital 2D', 'Illustration', '赛博朋克']",2,90
8024,hori,"['Digital 2D', 'Illustration', 'Anime & Manga', 'Fan Art', 'Horimiya', 'Kyouko Hori']",0,100
2727,Flora feat. Helia,"['Digital 2D', 'Illustration', 'Fan Art', 'winxclub', 'flora', 'helia', 'fanart', 'pinup', 'digitalart', 'nature', 'fairy']",0,80
5183,Pkmn Trainer Zoe,"['Digital 2D', 'Game Art', 'Anime & Manga', 'Fan Art', 'league of legends', 'pokemon', 'pkmn', 'trainer', 'zoe', 'mimikyu']",0,88
3284,Herrscher of Thunder,"['Digital 3D', 'Anime & Manga', 'Character Modeling', 'HI3', 'Stylized', 'Anime', '', 'honkai impact 3rd']",1,31
2220,Draped in gold,"['Digital 3D', 'Illustration', 'Anatomy', 'Abstract']",0,38
2470,Evangelion-01,"['Digital 3D', 'Concept Art', 'Science Fiction', 'Environmental Concept Art & Design', 'Evangelion', 'Eva01']",0,24
4028,Loba,"['Digital 2D', 'Fantasy', 'Illustration', 'Fan Art', 'Loba', 'Digital', 'Phtoshop', 'Apex', 'Revenant', 'robots', 'future', 'girl', 'braids', 'game', 'character']",0,38
5783,SPIDERMAN2099 X BATMAN BEYOND,"['Digital 2D', 'Comic Art', 'Illustration', 'Fan Art', 'spiderman2099', 'batmanbeyond', 'marvel', 'dc', 'fanart', 'digitalart', 'comicart']",0,79
6204,Some new DnD characters (DnD commission),"['Digital 2D', 'Fantasy', 'Illustration', 'Character Design', 'Concept Art', 'concept', 'fantasy', 'Digital Drawing', 'armor', 'lights', 'gold', 'Pose', 'boots', 'Costume Design', 'Concept Artist', 'belt', 'shadows', 'shiny', 'detailed', 'straps', 'race', 'eyes', 'Character', 'Clothing', 'Red', 'Colors', 'Illustrator', 'ARt', 'Metal', 'CHaracter Design', 'Hair', 'Outfit', 'ILLUSTRATION', 'Fantasy art', 'fantasy race', 'belts', 'Fantasy Fashion', 'atomic spaghetti', 'classic fantasy', 'concept artist for hire', 'dnd', 'dungeons and dragons', 'dungeons & dragons', 'd&d', '5e', '3.5e', 'wotc', 'wizards of the coast', 'trpg', 'ttrpg', 'tabletop roleplaying game', 'firbolg', 'cleric', 'blue', 'skin', 'red hair', 'halo', 'pelor', 'god', 'fur cape', 'medallion', 'holy symbol', 'blouse', 'scale mail', 'leather', 'aasimar', 'fallen', 'fallen aasimar', 'skeleton', 'skeletal', 'wings', 'skeletal wings', 'white hair', 'scales', 'tattoos', 'painted', 'leather armor', 'studded', 'mechanical', 'fox', 'clockwork', 'weapon', 'divination', 'mage', 'court', 'king', 'advisor', 'divinate', 'purple', 'black', 'robes', 'mage robes', 'gloves', 'claws', 'metal claws', 'staff', 'wizard staff', 'gem', 'magic']",2,37
7746,Zombie,"['Digital 2D', 'Concept Art', 'Matte Painting', 'Horror', 'postapocalyptic', 'postapocalypse', 'apocalypse', 'survival', 'wasteland', '', 'horrorfans', '', 'zombie', '', 'biohazard', '', 'infection', '', 'gamer']",1,44
1630,Commission Mouseone Gaming Pad Art3,"['Digital 2D', 'Fantasy', 'Illustration', 'Graphic Design', 'northpole', 'viking', 'night', 'aurora', 'landscape', 'cold', 'winter', 'snow']",0,56
1379,Ch19. 9年前...グラビアアイドル?,"['Digital 2D', 'Illustration', 'Anime & Manga', 'Book Illustration', 'anime', 'manga', 'artofhuan', 'ladym', '巨乳', '極上の乳', '聖乳']",0,37
8155,oriental summoner,"['Digital 2D', 'Traditional Paint', 'Mixed Media', 'Concept Art', 'Game Art', 'Character Design', '', '2d', '', 'concept', '', 'concept art', '', 'character', '', 'character design', '', 'gameart']",0,36
7762,[CM] Akeno Himejima dakimakura,,0,60
8683,魔兽编年史同人画集-时之沙漏，几张N年前的老图,"['Digital 2D', 'Concept Art', 'Game Art', 'Illustration', 'World of Warcraft']",0,59
5317,Princess Daisy - Super Mario Strikers Charged,"['Digital 3D', 'Animation', 'Real-time', 'Game Art', 'Fan Art', 'Character Modeling', 'daisy', 'mario', 'character', 'university', 'game', 'fan', 'art', 'modelling', 'unreal', 'retrogasm']",5,53
428,Age Of Sigmar : Soulbound RPG - Champions of Order - Miracle of Teclis,"['Digital 2D', 'Fantasy', 'Illustration', 'Book Illustration', 'Digital 2D', 'Fantasy', 'horror', 'illustration', 'warhammer', 'spite revenant', 'age of sigmar', 'AoS', 'book illustration', 'rpg', 'age of sigmar rpg', 'chaos lord sorcerer']",0,22
7620,Wonder Woman,"['Digital 2D', 'Fan Art', 'dc', 'dccomics', 'dceu', 'darkseid', 'justiceleague', 'snydercut', 'zacksnyder', 'zacksnydersjusticeleague', 'batman', 'wonderwoman', 'superman', 'theflash', 'cyborg']",1,48
7763,[CM] Rias Gremory dakimakura,,0,58
2737,Flowing Sleeves Body Suit Promo,"['Digital 3D', 'Fashion & Costume Design', 'Portraits', 'Realism', '3d', '3drender', '3dart', 'daz3d', 'marcsart', 'sympaticostudio', 'woman', 'pinup', 'blue', 'fashion', 'bodysuit', 'promo']",3,37
8280,study painting of beautiful Tanerélle,"['Digital 2D', 'Realism', 'studypainting', 'digital', 'mamasaturn', 'goddess']",0,27
3694,K/DA Evelynn - 'The Baddest',"['Digital 2D', 'Illustration', 'Fan Art', 'evelynn', 'league of legends', 'leagueoflegends', 'kda', 'eve', 'lol', 'riot games', 'riotgames', 'k/da', 'baddest', 'more']",0,59
3548,Iori,"['Digital 2D', 'Illustration', 'Anime & Manga', 'Portraits', 'anime', 'manga', 'illustration', 'lokigun', 'digital 2d', 'character illustration', 'painting']",0,70
3409,Hypnotize Beauty,"['Digital 3D', 'Portraits', 'dazstudio', 'daz3d', 'iray', 'cgi', 'artwork', 'digitalart', '3drender', 'art', '3d', 'photoshop', 'genesis8', 'female', 'portrait']",2,51
3378,HuTao,"['Digital 2D', 'Illustration', 'Anime & Manga', 'Fan Art', 'genshinimpact', 'hutao', 'fanart', 'animestyle', 'digital']",0,61
2390,Empress tarot card,"['Digital 2D', 'empress', 'card', 'tarot', 'illustration']",4,49
2747,Flytrap,"['Traditional Sculpture', 'Science Fiction', 'Horror', 'Character Design', 'surreal', 'biomechanical', 'sculpture', 'cogiel']",2,22
5293,Practice,['Portraits'],0,50
4301,Matina,"['Digital 2D', 'Digital 3D', 'Stylized', 'Character Design', 'Character Modeling', 'cartoon', 'animation', 'sculpt', 'particles', '13', 'Digital3D', 'Fantasy', 'Character', 'Female', 'ZBRUSH', 'Artist', 'SubstancePainter', '', 'stylizedcharacter']",4,28
4112,Lumydre,"['Digital 2D', 'Anime & Manga', '', 'commssion', '', 'digitalart']",0,36
4369,Melisma,"['Digital 2D', 'Concept Art', 'Fashion & Costume Design', 'Character Design', 'character sheet', 'deity', 'celestial', 'star']",0,43
2441,Eren Yaeger - Attack on titan | 進撃の巨人 | Shingeki no Kyojin,"['Digital 2D', 'Concept Art', 'Anime & Manga', 'Fan Art', 'Anime', 'manga', 'fan art', 'art', 'artist', 'digital fan art', 'digital art', 'digital painting', 'digital illustration', 'photoshop', 'painttool Sai', 'illustration', 'character', 'anime character', 'character design', 'concept art', 'concept', 'design', 'character art', 'Akira', 'Movie', 'cyberpunk', 'illustrator', 'artwork', 'lineart', 'line art', 'character concept', 'tecnology', 'tetsuo shima', 'Kaneda', 'Eren Yeager', 'Eren Jeager', 'AOT', 'SNK', 'Attack on titan', 'Shingeki no Kyojin', '進撃の巨人', 'mikasa', 'levi ackerman']",0,28
1972,Day 6 / Cats love Yoga,"['Digital 2D', 'Illustration', 'Sketches', '100dayproject']",0,31
7364,Vio - Shinobi,"['Digital 3D', 'Anime & Manga', 'Character Design', 'Character Modeling', 'female', 'character', 'shinobi', 'katana', 'sword', 'mask', 'oni', 'warmask', 'devilmask', 'sporty', 'sportswear', 'bra', 'buns', 'gold', 'scarf', 'thights', 'breasts', 'muscles', 'long hair', 'purple', 'blue', 'dark', 'black', 'anime', 'animeinspired']",0,54
491,All Is Dust,"['Science Fiction', 'Illustration', 'Fan Art', 'legend', 'totawar', 'warhammer', 'warhammertotalwar', 'creativeassembly', 'digitalart', 'digitalpainting', 'johnstoneart', 'fantasy', 'gamesworkshop', 'astartes', 'primaris', 'terminator', 'spacemarine', 'marine', 'scifi', 'sciencefiction', 'warhammer40k', 'wh40k', 'champion', 'emperor', 'emperorsdragons', 'chaos', 'plaguemarine', 'tzeentch', 'thousandson', 'magnus']",0,35
8642,蜘蛛女,"['Digital 2D', 'Concept Art', 'Game Art', 'Illustration']",1,34
2407,English Pilot,,0,37
6612,TLOU 2 Fan Art,"['Digital 3D', 'Real-time', 'Game Art', 'Animals & Wildlife', 'Games and Real-Time 3D Environment Art', 'the last of us', 'the last of us part 2', 'game art', 'environment art', 'dinosaur', 't rex', 'triceratops']",0,29
1806,Cyber Captain America,"['Digital 2D', 'Fan Art', 'captainamerica', 'cyberpunk', 'cybercity', 'scifi', 'bladerunner', 'avengers', 'neoncity', 'marvel', 'marvelstudios', 'mcu', 'cyberpunk2077']",0,55
758,Auto-Photogrammetry (Houdini HDA),"['Digital 3D', 'Real-time', 'Photogrammetry & 3D Scanning', 'Scripts & Tools', 'Technical Art', 'enviroment art', 'houdini', 'procedural', 'Games']",0,20
3558,"Isengrim Faoiltiarna _ I choose slow death for you, dh'oine.","['Digital 2D', 'Fantasy', 'Illustration', 'Anime & Manga', 'Isengrim Faoiltiarna', 'Scoiatael', 'elf', 'aen seidhe', 'squirrel']",0,41
6288,SpiderMan Tribute,"['Traditional Ink', 'Comic Art', 'Storyboards', 'Art', 'Draw', 'Illustration', 'Tribute', 'drawing', 'arte', 'comics', 'marvel', 'spiderman', 'uomo', 'ragno']",0,46
2894,Galadriel (Queen of Mordor),"['Digital 2D', 'Fantasy', 'Concept Art', 'Character Design', 'lord of the rings', 'galadriel', 'armor', 'ring', 'nazgul', 'hobbit', 'elf', 'elven', 'power', 'dark', 'lord', 'amazon', 'concept', 'inkwell', 'illustration', 'dustin', 'panzino', 'art', 'character', 'design', 'challenge', 'mordor', 'sauron', 'witch', 'king', 'sword', 'one']",0,43
3343,Horror: Ghostbusters. Freddy Krueger. Krampus.,"['Digital 2D', 'Matte Painting', 'Fan Art', 'Horror', 'nightmareonelmstreet', 'freddykrueger', 'krampus', 'christmas', 'Ghostbusters', 'marshmallowman', 'horror', 'horrorfans', 'scary', 'creepy']",0,45
7984,ginsan,"['Digital 2D', 'Illustration', 'Anime & Manga', 'Fan Art', 'Gintama', 'Gintoki Sakata']",1,77
1289,"Captain Haden Einjar - Warhammer 40,000 Fan Art","['Digital 2D', 'Science Fiction', 'Fan Art', 'Character Design', 'Warhammer', '40000', '40k', 'Chaos', 'Beast', 'Grim', 'Dark', 'Grimdark', 'illustration', 'character', 'sheet']",0,32
5488,Rally Call,"['Digital 2D', 'Digital 3D', 'Fantasy', 'Creatures', 'Illustration', 'dragon', 'mountains', 'girl', 'warrior', 'call', 'rally', 'horn', 'siren']",2,37
3132,Gwen,,1,76
1807,Cyber City Blade Runner,"['Digital 2D', 'Fan Art', 'bladerunner', 'cyberpunk', 'cyberpunk2077', 'bladerunner2049', 'future', 'neon', 'neoncity', 'cybercity']",0,58
5983,Shaddarkai Half elf Character Commission,"['Digital 2D', 'Concept Art', 'Illustration', 'Character Design', 'DUNGEONS AND DRAGONS', 'TTRPG', 'RPG', 'ELF', 'HALF ELF', 'SHADDARKAI', 'SPEAR', 'HEXBLADE', 'Eldritch']",0,48
5544,Red,"['Digital 2D', 'Digital 3D', 'Real-time', 'Portraits', 'Stylized', 'Character Modeling', 'Character', 'portrait', 'stylized', 'red', 'valentine']",1,34
5844,Satsuke,"['Digital 2D', 'Fan Art', 'fanart', 'satsuke', 'kill la kill', 'anime', 'manga']",0,48
6353,Steampunk Creature,"['Digital 3D', 'Science Fiction', 'Creatures', 'Abstract']",0,28
5083,Patreon requests 9,"['Digital 2D', 'Fantasy', 'Fan Art', 'Character Design', 'FFXIV', 'Final Fantasy XIV', 'Hyur', 'Highlander', 'Male', 'Female', 'Miqote', 'Miqote female', 'Catgirl', 'FF14', 'Final Fantasy']",1,45
5927,Sculpting A Cartoon Dragon: ZBrush For Beginners,"['Digital 3D', 'Tutorials', ""Children's Art"", 'Character Modeling', 'sculpting', 'digital', 'dragon', 'cartoon', 'simple', 'character', 'kids', 'cute', 'chibi', 'creature', 'animal', 'fantasy', 'tutorial']",0,24
8056,knight,"['Digital 2D', 'Concept Art', 'Game Art', 'Character Design', 'knight']",0,59
2372,Elma,"['Digital 2D', 'Illustration', 'Anime & Manga', 'Character Design', 'art', 'Illustration', 'Conceptart']",0,47
4881,Octavia Prime Armor,"['Digital 3D', 'Real-time', 'Game Art', 'armor', 'accessory', 'gold']",0,21
6436,Stylized 2D Pieces Part 2,"['Digital 2D', 'Fantasy', 'Anime & Manga', 'Fan Art', 'Digital 2D', 'fantasy', 'characters', 'Genshin Impact', 'League of Legends']",0,58
5357,Project Knight's Dusk - Solaren,"['Digital 3D', 'Fantasy', 'Character Design', 'Character Modeling', 'sun', 'gods', 'diety', 'gold', 'sun god', 'fiction', 'bloom']",5,23
6171,Snow Mountain,"['Digital 2D', 'Digital 3D', 'Live Action CG/VFX', 'Concept Art', 'Environmental Concept Art & Design', 'Games and Real-Time 3D Environment Art', 'Snow Mountain', 'game', 'Unreal Engine']",0,29
3735,Keqing - Genshin impact,"['Digital 2D', 'Illustration', 'Anime & Manga', 'Fan Art', 'genshin impact', 'keqing', 'anime art']",0,51
4957,Orc Brawler,"['Digital 3D', 'Fantasy', 'VFX for Film, TV & Animation', 'Character Modeling', 'orc', 'fantasy', '20s', 'pub', 'thug', 'gangster']",2,32
8547,我的侠客,"['Digital 2D', 'Illustration', '武侠', '侠客']",0,42
3844,Labyrinth Fairies,"['Digital 3D', 'Portraits', 'Character Design', 'Character Modeling', 'nfts', 'ether', 'crytpo', 'ai', 'blockchain', 'bitcoin']",1,39
971,BiWorld Magic,"['Digital 2D', 'Fantasy', 'Illustration', 'Cover Art', 'BiWorld', 'dwuświat', 'magic', 'magia dwuświata', 'Kopijer', 'mitrys', 'angel', 'demon', 'devil', 'fight', 'battle', 'castle', 'environment', 'board game', 'game art']",0,38
6843,The OtherWise Tree,"['Digital 3D', 'Architectural Visualization', 'Environmental Concept Art & Design', 'Realism', 'Tree', 'nature', 'vines', 'water', 'wet', 'plants', 'light', 'darkness', 'flowers']",2,26
2130,Disney’s Raya and the Last Dragon - Tuk Tuk Fan Art,"[""Children's Art"", 'Animals & Wildlife', 'Fan Art', 'Raya', 'Raya and the last dragon', 'Ratld', 'Photoshop art', 'Tuk', 'Tuktuk', 'Tuk tuk', 'Disney', 'Fan art', 'Fanart', 'Disney raya', 'Disney fanart', 'Tuk fanart', 'Parochena', 'Paulette', 'Arochena']",0,23
8515,小夜魔,"['Digital 2D', 'Anime & Manga']",0,35
1088,Bodrum House (UE4 / Unreal Engine 4 + Rtx Reflections),"['Digital 3D', 'Real-time', 'Architectural Visualization', 'Virtual and Augmented Reality', 'Realism', 'unreal engine 4', 'ue4', 'ue5', 'unreal engine 5', 'realtime', 'high quality', 'realistic', 'realism', 'architecture', 'virtual reality', 'megascans']",1,32
6322,Star Guardian Syndra,"['Digital 2D', 'Illustration', 'Fan Art', 'syndra', 'star guardian', 'star', 'league of legends', 'lol', 'riot games']",0,63
3200,Hanna & Sarah,['Character Design'],0,31
2785,Forsaken tbc,"['Digital 3D', 'Concept Art', 'Character Design', 'Character Modeling', 'undead', 'rogue', 'world of warcraft', 'wow', 'character', 'art', 'Armor', 'Hard Surface', 'modeling', '3d', 'design', 'forsaken', 'knight', 'armour', 'fanart']",1,18
6074,Sitara and Walter,"['Digital 2D', 'Concept Art', 'Sketches', 'Character Design', 'sketh', 'sci-fi']",0,27
3848,Lady Maria,"['Digital 2D', 'Fantasy', 'Illustration', 'Fan Art', 'fromsoftware', 'hunter', 'victorian', 'soulsborne', 'yharnam', 'clocktower', 'bloodborne', 'womeninart']",0,44
3071,Grand Space Opera: Light Age - Film/VFX Character Art : Mother Alien Queen,"['Digital 3D', 'Live Action CG/VFX', 'Science Fiction', 'Creatures', 'Character Modeling', 'challenge', 'light age', 'sf', 'alien', 'queen', 'pregnant']",2,18
6399,Street Fashion dForce outfit Promo,"['Digital 3D', 'Fashion & Costume Design', 'Portraits', 'Realism', '3d', '3drender', '3dart', '3dcharacter', 'fashion', 'woman', 'outfit', 'cutie', 'marcsart', 'sympaticostudio', 'realism', 'promo']",0,35
3361,House Stark of Winterfell,"['Digital 2D', 'Animation', 'Real-time', 'Concept Art', 'Game Art', 'Still Life', 'digital 2D', 'game art', 'illustration', 'character design', 'game development', 'Na', 'Oil painting', 'tutorial', 'Sailor Moon', 'Game of Thrones']",1,15
1951,Darkness,"['Digital 3D', 'Creatures', 'Horror', 'Abstract']",0,32
4075,Lotus Blade,,0,66
1595,Colmillos,"['Digital 2D', 'Fantasy', 'Book Illustration', 'Cover Art', 'roleplaying', 'female', 'orc', 'warrior', 'axe', 'frog', 'pirates', 'ship']",0,41
4726,Nemesis,"['Digital 3D', 'Fantasy', 'Creatures', 'Abstract']",2,56
3824,LIGHT ARMOR EXO SUITS1,"['Digital 2D', 'Digital 3D', 'Mixed Media', 'Concept Art', 'Science Fiction', 'Mecha', '', 'scifi', '', 'spaceship', '', 'concept art', '', 'science fiction', '', 'mecha']",2,21
4558,Motocycle-Marco,"['Digital 2D', 'Digital 3D', 'Concept Art', 'Vehicles', 'Industrial & Product Design', 'Sci-fi', 'cyberpunk', 'motocycle', 'blender3D', 'design', 'conceptdesign']",0,38
